rank,pls_min_mv,driver,points,back,starts,pole,win,top_5,top_10,winnings,year,race_num
11,-4,Jeff Gordon,516,-129,4,3,0,0,2,"$642,387",2002,4
12,+2,Ricky Craven,497,-148,4,2,0,2,2,"$390,041",2002,4
13,-7,Bill Elliott,460,-185,4,4,0,0,1,"$477,815",2002,4
14,+11,Dale Earnhardt Jr,456,-189,4,2,0,1,1,"$545,954",2002,4
15,+1,Dale Jarrett,433,-212,4,1,0,0,1,"$509,655",2002,4
16,-1,Elliott Sadler,430,-215,4,0,0,1,1,"$1,158,050",2002,4
17,+4,Dave Blaney,411,-234,4,0,0,0,0,"$372,144",2002,4
18,-6,Bobby Labonte,410,-235,4,0,0,1,1,"$541,772",2002,4
19,-1,Jeremy Mayfield,391,-254,4,0,0,1,1,"$471,717",2002,4
20,+3,Ricky Rudd,390,-255,4,1,0,0,0,"$500,184",2002,4
21,+6,Terry Labonte,388,-257,4,0,0,0,0,"$457,484",2002,4
22,-2,Kenny Wallace,386,-259,4,0,0,0,1,"$454,060",2002,4
23,-4,Johnny Benson Jr,377,-268,4,0,0,0,1,"$389,517",2002,4
24,+2,Robby Gordon,376,-269,4,0,0,0,0,"$406,984",2002,4
25,-3,Jerry Nadeau,363,-282,4,0,0,0,0,"$348,480",2002,4
26,-9,Michael Waltrip,343,-302,4,0,0,1,1,"$582,530",2002,4
27,+3,Jimmy Spencer,327,-318,3,0,0,0,1,"$233,058",2002,4
28,-4,Jeff Green,327,-318,4,0,0,0,0,"$311,219",2002,4
29,+3,Ken Schrader,324,-321,4,0,0,0,0,"$376,702",2002,4
30,+1,Bobby Hamilton,315,-330,4,0,0,0,1,"$333,187",2002,4
31,+4,Joe Nemechek,301,-344,4,0,0,0,0,"$386,420",2002,4
32,-4,Kevin Harvick,300,-345,4,1,0,0,0,"$467,697",2002,4
33,-4,Brett Bodine,295,-350,4,0,0,0,0,"$305,901",2002,4
34,+4,Kyle Petty,293,-352,4,0,0,0,0,"$272,387",2002,4
35,+1,Mike Skinner,289,-356,4,0,0,0,0,"$284,080",2002,4
36,-3,John Andretti,285,-360,4,0,0,0,0,"$386,982",2002,4
37,+6,Buckshot Jones,261,-384,3,0,0,0,0,"$184,188",2002,4
38,+2,Stacy Compton,232,-413,4,0,0,0,0,"$305,983",2002,4
39,-5,Todd Bodine,218,-427,3,1,0,0,0,"$273,965",2002,4
40,-3,Hut Stricklin,212,-433,3,0,0,0,0,"$170,377",2002,4
41,+1,Casey Atwood,211,-434,4,0,0,0,0,"$293,589",2002,4
42,+2,Shawna Robinson,189,-456,3,0,0,0,0,"$235,064",2002,4
43,+2,Rick Mast,168,-477,3,0,0,0,0,"$149,382",2002,4
44,-5,Geoffrey Bodine,165,-480,1,0,0,1,1,"$688,641",2002,4
45,-4,Mike Wallace,149,-496,2,0,0,0,0,"$225,847",2002,4
46,--,Robert Pressley,97,-548,1,0,0,0,0,"$150,859",2002,4
47,--,Dave Marcis,37,-608,1,0,0,0,0,"$137,110",2002,4
48,--,Dick Trickle,37,-608,1,0,0,0,0,"$39,305",2002,4
49,--,Carl Long,0,-645,0,0,0,0,0,$0,2002,4
1,--,Sterling Marlin,825,0,5,0,2,3,5,"$1,115,580",2002,5
2,--,Ryan Newman,726,-99,5,6,0,2,4,"$672,451",2002,5
3,+3,Matt Kenseth,682,-143,5,1,1,2,3,"$556,002",2002,5
4,+4,Rusty Wallace,677,-148,5,1,0,0,3,"$610,095",2002,5
5,+5,Jimmie Johnson,667,-158,5,4,0,1,3,"$409,597",2002,5
6,+5,Jeff Gordon,664,-161,5,3,0,0,3,"$749,050",2002,5
7,+2,Jeff Burton,650,-175,5,0,0,0,2,"$589,569",2002,5
8,-5,Ward Burton,640,-185,5,1,1,1,2,"$1,762,410",2002,5
9,-5,Mark Martin,638,-187,5,0,0,1,3,"$778,882",2002,5
10,+4,Dale Earnhardt Jr,621,-204,5,2,0,2,2,"$642,496",2002,5
11,-4,Kurt Busch,614,-211,5,1,0,1,1,"$767,206",2002,5
12,-7,Tony Stewart,604,-221,5,2,1,3,3,"$922,446",2002,5
13,+3,Elliott Sadler,600,-225,5,0,0,2,2,"$1,256,450",2002,5
14,-1,Bill Elliott,594,-231,5,4,0,0,2,"$553,876",2002,5
15,-3,Ricky Craven,542,-283,5,2,0,2,2,"$438,891",2002,5
16,+4,Ricky Rudd,517,-308,5,1,0,0,0,"$586,196",2002,5
17,+1,Bobby Labonte,510,-315,5,0,0,1,1,"$625,305",2002,5
18,+1,Jeremy Mayfield,506,-319,5,0,0,1,1,"$523,302",2002,5
19,-2,Dave Blaney,484,-341,5,0,0,0,0,"$419,829",2002,5
20,+1,Terry Labonte,482,-343,5,0,0,0,0,"$527,242",2002,5
21,-6,Dale Jarrett,476,-349,5,1,0,0,1,"$592,848",2002,5
22,+3,Jerry Nadeau,472,-353,5,0,0,0,0,"$398,950",2002,5
23,+9,Kevin Harvick,465,-360,5,1,0,1,1,"$576,140",2002,5
24,+2,Michael Waltrip,461,-364,5,0,0,1,1,"$636,310",2002,5
